
CREATE TABLE Investors (
    InvestorID INT PRIMARY KEY,
    Name VARCHAR(100),
    Email VARCHAR(100),
    RiskTolerance VARCHAR(100)
);

-- Portfolios Table
CREATE TABLE Portfolios (
    PortfolioID INT PRIMARY KEY,
    InvestorID INT,
    PortfolioName VARCHAR(100),
    CreatedDate DATE DEFAULT CURRENT_DATE
);

-- Assets Table (Stocks, Bonds, etc.)
CREATE TABLE Assets (
    AssetID INT PRIMARY KEY,
    Symbol VARCHAR(10) UNIQUE,
    AssetType VARCHAR(100),
    CurrentPrice DECIMAL(10,2)
);

-- Transactions Table
CREATE TABLE Transactions (
    TransactionID INT PRIMARY KEY,
    PortfolioID INT,
    AssetID INT,
    TransactionType VARCHAR(100),
    Quantity INT,
    PricePerUnit DECIMAL(10,2),
    TransactionDate DATE 
);

-- Insert Investors
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (1, 'Mr. Peter Walker', 'investor1@example.com', 'High');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (6, 6, 'Portfolio 6', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (7, 7, 'Portfolio 7', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (8, 8, 'Portfolio 8', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (9, 9, 'Portfolio 9', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (10, 10, 'Portfolio 10', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (11, 11, 'Portfolio 11', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (12, 12, 'Portfolio 12', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (13, 13, 'Portfolio 13', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (14, 14, 'Portfolio 14', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (15, 15, 'Portfolio 15', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (16, 16, 'Portfolio 16', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (17, 17, 'Portfolio 17', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (18, 18, 'Portfolio 18', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (19, 19, 'Portfolio 19', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (20, 20, 'Portfolio 20', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (21, 21, 'Portfolio 21', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (22, 22, 'Portfolio 22', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (23, 23, 'Portfolio 23', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (24, 24, 'Portfolio 24', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (25, 25, 'Portfolio 25', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (26, 26, 'Portfolio 26', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (27, 27, 'Portfolio 27', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (28, 28, 'Portfolio 28', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (29, 29, 'Portfolio 29', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (30, 30, 'Portfolio 30', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (31, 31, 'Portfolio 31', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (32, 32, 'Portfolio 32', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (33, 33, 'Portfolio 33', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (34, 34, 'Portfolio 34', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (35, 35, 'Portfolio 35', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (36, 36, 'Portfolio 36', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (37, 37, 'Portfolio 37', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (38, 38, 'Portfolio 38', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (39, 39, 'Portfolio 39', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (40, 40, 'Portfolio 40', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (41, 41, 'Portfolio 41', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (42, 42, 'Portfolio 42', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (43, 43, 'Portfolio 43', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (44, 44, 'Portfolio 44', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (45, 45, 'Portfolio 45', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (46, 46, 'Portfolio 46', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (47, 47, 'Portfolio 47', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (48, 48, 'Portfolio 48', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (49, 49, 'Portfolio 49', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (50, 50, 'Portfolio 50', '2025-01-01');

-- Insert Assets
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (1, 'AAPL', 'Stock', 180.5);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (2, 'GOOGL', 'Stock', 2900.25);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (3, 'TSLA', 'Stock', 750.3);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (4, 'BTC', 'Crypto', 45000.75);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (5, 'ETH', 'Crypto', 3200.0);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (6, 'AMZN', 'Stock', 3300.75);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (7, 'MSFT', 'Stock', 310.5);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (8, 'NFLX', 'Stock', 650.75);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (9, 'FB', 'Stock', 380.25);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (10, 'US10Y', 'Bond', 100.0);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (11, 'TLT', 'Bond', 145.6);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (12, 'BND', 'Bond', 85.3);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (13, 'AGG', 'Bond', 112.45);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (14, 'VTI', 'ETF', 240.8);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (15, 'SPY', 'ETF', 430.5);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (16, 'QQQ', 'ETF', 360.4);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (17, 'DIA', 'ETF', 345.2);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (18, 'IWM', 'ETF', 225.7);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (19, 'GLD', 'ETF', 172.0);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (20, 'SLV', 'ETF', 24.3);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (21, 'XLF', 'ETF', 38.5);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (22, 'XLE', 'ETF', 65.2);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (23, 'XLI', 'ETF', 99.4);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (24, 'XLB', 'ETF', 84.75);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (25, 'XLV', 'ETF', 133.6);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (26, 'XLY', 'ETF', 170.1);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (27, 'XLC', 'ETF', 75.2);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (28, 'ARKK', 'ETF', 105.3);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (29, 'ARKG', 'ETF', 72.5);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (30, 'ARKW', 'ETF', 90.7);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (31, 'MSTR', 'Stock', 750.8);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (32, 'NVDA', 'Stock', 620.9);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (33, 'AMD', 'Stock', 155.4);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (34, 'SNAP', 'Stock', 18.25);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (35, 'COIN', 'Stock', 280.6);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (36, 'TSM', 'Stock', 120.75);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (37, 'BABA', 'Stock', 92.3);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (38, 'JPM', 'Stock', 152.4);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (39, 'GS', 'Stock', 380.1);
INSERT INTO Assets (AssetID, Symbol, AssetType, CurrentPrice) VALUES (40, 'BRK.B', 'Stock', 342.5);

-- Insert Transactions
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (1, 1, 21, 'Buy', 32, 36.8, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (2, 1, 30, 'Buy', 11, 95.31, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (3, 1, 5, 'Buy', 20, 3111.18, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (4, 2, 37, 'Buy', 3, 98.71, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (5, 2, 16, 'Buy', 28, 378.21, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (6, 2, 19, 'Sell', 40, 156.2, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (7, 2, 1, 'Buy', 8, 173.69, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (8, 3, 26, 'Buy', 39, 170.93, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (9, 3, 28, 'Sell', 24, 109.38, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (10, 3, 1, 'Sell', 24, 189.86, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (11, 4, 32, 'Buy', 49, 603.07, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (12, 4, 17, 'Buy', 46, 328.68, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (13, 4, 18, 'Buy', 4, 246.73, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (14, 4, 30, 'Sell', 40, 88.39, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (15, 4, 35, 'Buy', 31, 293.52, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (16, 4, 19, 'Buy', 36, 158.35, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (17, 5, 4, 'Buy', 17, 44099.52, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (18, 5, 37, 'Buy', 47, 93.79, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (19, 5, 32, 'Sell', 50, 603.24, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (20, 5, 22, 'Sell', 39, 66.76, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (21, 6, 31, 'Buy', 25, 721.19, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (22, 6, 29, 'Buy', 35, 66.63, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (23, 6, 35, 'Sell', 37, 289.79, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (24, 6, 9, 'Sell', 35, 396.54, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (25, 7, 20, 'Sell', 39, 24.3, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (26, 7, 19, 'Sell', 23, 188.36, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (27, 7, 33, 'Sell', 43, 143.91, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (28, 7, 9, 'Sell', 24, 383.42, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (29, 8, 39, 'Buy', 15, 382.31, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (30, 8, 8, 'Buy', 7, 700.6, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (31, 8, 25, 'Buy', 12, 144.53, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (32, 8, 39, 'Sell', 15, 366.92, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (33, 8, 1, 'Buy', 34, 169.45, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (34, 8, 6, 'Buy', 8, 3251.22, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (35, 9, 14, 'Buy', 25, 232.53, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (36, 9, 12, 'Buy', 13, 87.12, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (37, 9, 4, 'Buy', 23, 48811.08, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (38, 10, 26, 'Buy', 3, 183.79, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (39, 10, 20, 'Buy', 47, 25.5, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (40, 10, 13, 'Sell', 37, 108.08, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (41, 10, 31, 'Buy', 50, 790.57, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (42, 11, 29, 'Sell', 5, 69.76, '2025-02-01');
INSERT INTO Transactions (TransactionID, PortfolioID, AssetID, TransactionType, Quantity, PricePerUnit, TransactionDate) VALUES (43, 11, 21, 'Buy', 7, 41.73, '2025-02-01');
