user_ID,customer,product_ID,sex,age_group,age,marital,state,zone,occupation,category,orders,amount
1000628,Pölking,P00000442,M,36-45,37,married,Uttar Pradesh,Central,Lawyer,Furniture,1,12292
1001556,Deanra,P00000542,F,18-25,18,unmarried,Uttar Pradesh,Central,Hospitality,Food,2,11889
1005728,Tejeswini,P00000542,M,36-45,41,unmarried,Andhra Pradesh,Southern,Chemical,Clothing & Apparel,4,6948
1001804,Ishit,P00000642,F,26-35,35,unmarried,Delhi,Central,Lawyer,Stationery,1,21533
1004448,Akshat,P00000642,F,26-35,35,unmarried,Uttar Pradesh,Central,Healthcare,Food,4,15848
1004213,Workman,P00000642,F,36-45,39,unmarried,Karnataka,Southern,Hospitality,Games & Toys,2,13036
1005914,Pamela,P00000642,F,36-45,40,married,Karnataka,Southern,Automobile,Footwear & Shoes,2,12229
1005738,O'Donnell,P00000642,F,26-35,35,married,Gujarat,Western,Food Processing,Electronics & Gadgets,3,8096
1003695,Bell,P00000642,F,26-35,28,unmarried,Uttar Pradesh,Central,Automobile,Electronics & Gadgets,1,7987
1003695,Bell,P00000642,F,26-35,28,unmarried,Uttar Pradesh,Central,Automobile,Decor,2,7987
1000424,Sudevi,P00000642,F,26-35,26,unmarried,Uttarakhand,Central,Aviation,Clothing & Apparel,3,6977
1004460,Dryer,P00000642,F,26-35,29,unmarried,Himachal Pradesh,Northern,Food Processing,Pet Care,4,3523
1003841,Philip,P00000642,F,46-50,47,unmarried,Haryana,Northern,Govt,Clothing & Apparel,4,3433
1000669,Jesslyn,P00000642,F,26-35,32,married,Karnataka,Southern,Textile,Household items,4,3117
1004705,Thea,P00000742,M,18-25,23,unmarried,Uttar Pradesh,Central,Aviation,Furniture,3,16029
1004655,Weimer,P00000742,M,26-35,28,married,Uttar Pradesh,Central,Banking,Furniture,2,12641
1002024,Teena,P00000742,F,0-17,17,unmarried,Maharashtra,Western,Banking,Electronics & Gadgets,2,7829
1005000,Caudle,P00000742,F,26-35,30,married,Maharashtra,Western,Banking,Decor,2,7809
1001875,Kelly,P00000742,F,36-45,41,married,Gujarat,Western,IT Sector,Clothing & Apparel,2,7153
1002010,Hunter,P00000742,F,18-25,21,unmarried,Kerala,Southern,Banking,Clothing & Apparel,4,5324
1001301,Wale,P00000742,M,26-35,26,unmarried,Gujarat,Western,Lawyer,Beauty,1,4515
1005136,Aniket,P00000742,F,26-35,29,unmarried,Delhi,Central,IT Sector,Household items,3,3107
1001298,Siddharth,P00000842,F,36-45,44,unmarried,Maharashtra,Western,Healthcare,Footwear & Shoes,2,16818
1002195,Shatayu,P00000842,M,0-17,15,married,Uttar Pradesh,Central,IT Sector,Electronics & Gadgets,2,9770
1000102,McCrossin,P00001042,F,36-45,39,unmarried,Delhi,Central,Hospitality,Footwear & Shoes,3,16204
1002968,Mane,P00001042,M,18-25,18,married,Uttar Pradesh,Central,Retail,Food,1,15476
1004041,Fritzler,P00001042,F,18-25,24,unmarried,Haryana,Northern,Media,Food,4,15357
1004112,Mrunal,P00001042,F,46-50,48,married,Karnataka,Southern,Hospitality,Food,4,15195
1005874,Irving,P00001042,F,26-35,26,unmarried,Uttar Pradesh,Central,Aviation,Food,2,11708
1000669,Jesslyn,P00001042,F,26-35,27,married,Karnataka,Southern,IT Sector,Sports Products,2,7951
1002491,Soumyabrata,P00001042,F,36-45,45,unmarried,Uttar Pradesh,Central,Construction,Electronics & Gadgets,1,7798
1001473,Luxemburg,P00001042,M,26-35,31,unmarried,Uttar Pradesh,Central,Healthcare,Clothing & Apparel,1,6925
1002895,Carol,P00001042,F,26-35,32,unmarried,Himachal Pradesh,Northern,Banking,Games & Toys,1,6522
1001748,Alejandro,P00001142,F,51-55,53,unmarried,Andhra Pradesh,Southern,Healthcare,Auto,3,18573
1004656,Häberlin,P00001142,F,26-35,34,unmarried,Uttar Pradesh,Central,Banking,Decor,1,9714
1002986,Boyes,P00001142,F,26-35,35,married,Punjab,Northern,Hospitality,Electronics & Gadgets,2,7996
1000136,Lisa,P00001142,F,18-25,22,unmarried,Punjab,Northern,Retail,Electronics & Gadgets,3,6178
1004786,Liston,P00001142,F,46-50,50,married,Andhra Pradesh,Southern,Food Processing,Pet Care,4,2824
1004718,Vaibhav,P00001142,F,36-45,44,unmarried,Delhi,Central,Food Processing,Office,3,773
1001969,Klamczynski,P00001342,M,26-35,32,unmarried,Madhya Pradesh,Central,IT Sector,Food,1,15490
1002255,MacKendrick,P00001342,M,36-45,39,married,Bihar,Eastern,Food Processing,Electronics & Gadgets,2,9880
1005111,Amisha,P00001442,F,36-45,37,unmarried,Uttar Pradesh,Central,Hospitality,Tupperware,4,16533
1001019,Neil,P00001442,F,36-45,36,unmarried,Haryana,Northern,Textile,Clothing & Apparel,4,7006
1002116,Stuti,P00001442,F,18-25,22,unmarried,Uttar Pradesh,Central,Govt,Clothing & Apparel,3,6951
1002304,Yoseph,P00001442,F,46-50,50,unmarried,Karnataka,Southern,Textile,Clothing & Apparel,4,5198
1003243,Denny,P00001542,F,26-35,29,unmarried,Jharkhand,Eastern,Banking,Clothing & Apparel,3,1794
1003464,Parth,P00001642,M,26-35,31,unmarried,Himachal Pradesh,Northern,Aviation,Food,1,8329
1002156,Granlund,P00001642,F,18-25,23,married,Bihar,Eastern,Hospitality,Clothing & Apparel,2,7172
1003850,Smith,P00001642,F,18-25,24,married,Delhi,Central,Construction,Clothing & Apparel,4,7143
1003643,Gibson,P00001642,F,26-35,34,unmarried,Bihar,Eastern,Banking,Clothing & Apparel,2,5268
1001146,Shivam,P00001642,M,18-25,23,unmarried,Maharashtra,Western,Automobile,Clothing & Apparel,1,5159
1000068,Pardue,P00001742,F,18-25,20,married,Karnataka,Southern,Food Processing,Food,1,19326
1005922,O'Rourke,P00001742,F,55+,70,married,Maharashtra,Western,Textile,Decor,2,10062
1001383,Jacobs,P00001742,M,26-35,31,married,Himachal Pradesh,Northern,Construction,Electronics & Gadgets,4,10037
1003601,O'Carroll,P00001742,M,36-45,37,unmarried,Karnataka,Southern,Banking,Games & Toys,4,9811
1003057,Baird,P00001742,M,26-35,27,unmarried,Andhra Pradesh,Southern,Govt,Clothing & Apparel,1,8597
1000918,Yedwab,P00001742,M,46-50,50,unmarried,Himachal Pradesh,Northern,Food Processing,Sports Products,3,7928
1000141,Apsingekar,P00001742,F,36-45,43,unmarried,Uttar Pradesh,Central,Automobile,Clothing & Apparel,4,5378
1005387,Mukesh,P00001742,M,26-35,26,unmarried,Uttar Pradesh,Central,Textile,Clothing & Apparel,1,5297
1005448,Stephanie,P00001742,F,46-50,48,unmarried,Andhra Pradesh,Southern,Chemical,Electronics & Gadgets,2,3887
1003716,Praneet,P00001842,F,18-25,18,married,Uttar Pradesh,Central,Food Processing,Food,4,12078
1001150,Becky,P00001842,M,26-35,30,unmarried,Madhya Pradesh,Central,Aviation,Food,4,11419
1001120,Katharine,P00001842,F,18-25,23,unmarried,Karnataka,Southern,Govt,Games & Toys,1,10040
1003051,Moren,P00001942,F,18-25,22,unmarried,Madhya Pradesh,Central,Agriculture,Food,2,15737
1000984,Ben,P00001942,F,51-55,54,married,Maharashtra,Western,Automobile,Food,1,11832
1002415,Melanie,P00001942,F,26-35,34,married,Bihar,Eastern,IT Sector,Clothing & Apparel,3,7116
1004395,Michael,P00001942,M,51-55,52,unmarried,Bihar,Eastern,Hospitality,Clothing & Apparel,2,6990
1005987,Ballentine,P00001942,F,26-35,33,married,Delhi,Central,Hospitality,Clothing & Apparel,4,6972
1000658,Williams,P00001942,M,26-35,35,married,Madhya Pradesh,Central,Textile,Electronics & Gadgets,3,5870
1004285,Bhishm,P00002042,F,36-45,38,unmarried,Uttar Pradesh,Central,Banking,Sports Products,1,13235
1000646,Aarushi,P00002042,F,36-45,38,married,Rajasthan,Northern,Banking,Electronics & Gadgets,3,6044
1002378,Balk,P00002042,F,26-35,28,married,Jharkhand,Eastern,Govt,Electronics & Gadgets,3,6043
1001332,Flanagan,P00002142,F,26-35,28,unmarried,Maharashtra,Western,Aviation,Furniture,4,16658
1002457,Latchford,P00002142,F,26-35,29,unmarried,Uttar Pradesh,Central,Chemical,Food,2,15707
1004001,Delfina,P00002142,M,26-35,28,married,Uttar Pradesh,Central,Chemical,Food,3,11972
1004309,Chance,P00002142,M,26-35,32,unmarried,Maharashtra,Western,Lawyer,Books,3,10546
1003902,Huffman,P00002142,F,26-35,26,unmarried,Maharashtra,Western,Construction,Games & Toys,2,10109
1003684,Skach,P00002142,F,26-35,33,unmarried,Himachal Pradesh,Northern,Automobile,Clothing & Apparel,2,8566
1000674,Yash,P00002142,M,26-35,26,unmarried,Delhi,Central,Aviation,Household items,1,3785
1000710,Nripraj,P00002242,F,26-35,28,married,Bihar,Eastern,Banking,Furniture,4,12132
1003584,Maria,P00002242,F,18-25,25,unmarried,Bihar,Eastern,Chemical,Electronics & Gadgets,2,10081
1001807,Häberlin,P00002242,F,18-25,23,unmarried,Maharashtra,Western,Aviation,Clothing & Apparel,4,8818
1004022,Seth,P00002242,F,36-45,42,unmarried,Bihar,Eastern,Hospitality,Clothing & Apparel,4,5240
1004001,Delfina,P00002242,M,26-35,29,unmarried,Himachal Pradesh,Northern,Healthcare,Stationery,3,4570
1002276,Pournamasi,P00002242,F,55+,75,unmarried,Bihar,Eastern,Healthcare,Electronics & Gadgets,2,3988
1004116,Ramesh,P00002342,F,36-45,45,unmarried,Madhya Pradesh,Central,Banking,Food,2,15463
1002793,Aniket,P00002342,F,36-45,45,married,Gujarat,Western,IT Sector,Clothing & Apparel,1,8760
1005504,Ashmeet,P00002442,F,46-50,47,unmarried,Uttar Pradesh,Central,Healthcare,Food,1,15749
1004543,Shivam,P00002442,F,26-35,34,married,Delhi,Central,Aviation,Food,3,11413
1004406,Jenna,P00002442,F,26-35,32,unmarried,Kerala,Southern,Aviation,Clothing & Apparel,2,8896
1002042,DeVincentis,P00002442,F,0-17,15,unmarried,Uttar Pradesh,Central,Healthcare,Food,1,4217
1002275,Stephanie,P00002442,F,55+,87,unmarried,Uttar Pradesh,Central,IT Sector,Clothing & Apparel,3,3643
1001078,Shreya,P00002542,M,46-50,49,married,Madhya Pradesh,Central,Lawyer,Food,4,19054
1002380,Swati,P00002542,F,26-35,31,unmarried,Karnataka,Southern,Food Processing,Footwear & Shoes,4,16178
1005557,Cynthia,P00002542,F,36-45,41,married,Maharashtra,Western,IT Sector,Food,1,15492
1003786,Parks,P00002542,M,26-35,33,unmarried,Uttar Pradesh,Central,Aviation,Food,1,11679
1005412,Benjamin,P00002542,F,26-35,35,unmarried,Maharashtra,Western,Automobile,Electronics & Gadgets,1,8100
1000147,Poirier,P00002542,F,18-25,20,unmarried,Himachal Pradesh,Northern,Healthcare,Electronics & Gadgets,2,7954
1004505,Daniels,P00002542,F,51-55,54,married,Maharashtra,Western,Food Processing,Clothing & Apparel,4,5195
1005250,Fritzler,P00002542,F,51-55,51,married,Andhra Pradesh,Southern,Healthcare,Food,2,3928
1003509,Garverick,P00002642,M,18-25,25,married,Maharashtra,Western,Automobile,Food,2,15240
1004345,Duhita,P00002742,M,26-35,33,unmarried,Himachal Pradesh,Northern,Retail,Clothing & Apparel,1,5427
1004345,Duhita,P00002742,M,26-35,33,unmarried,Rajasthan,Northern,Retail,Clothing & Apparel,4,5427
1001150,Becky,P00002742,M,26-35,35,unmarried,Punjab,Northern,Hospitality,Household items,3,2400
1001908,Anmol,P00002842,F,55+,76,unmarried,Andhra Pradesh,Southern,Media,Electronics & Gadgets,4,9945
1001387,Ashley,P00002842,M,51-55,53,married,Bihar,Eastern,Food Processing,Electronics & Gadgets,1,8023
1005394,Cari,P00002842,F,18-25,24,married,Andhra Pradesh,Southern,Lawyer,Clothing & Apparel,2,5321
1002986,Boyes,P00002942,F,26-35,26,unmarried,Karnataka,Southern,Aviation,Food,4,15477
1000678,Barnes,P00002942,F,26-35,29,unmarried,Karnataka,Southern,Food Processing,Clothing & Apparel,1,7139
1005403,Caroline,P00002942,F,0-17,12,unmarried,Maharashtra,Western,Banking,Electronics & Gadgets,3,6203
1005403,Caroline,P00002942,F,0-17,12,unmarried,Maharashtra,Western,Banking,Electronics & Gadgets,4,6203
1003173,Catini,P00002942,F,26-35,28,unmarried,Kerala,Southern,Aviation,Electronics & Gadgets,4,6124
1003173,Catini,P00002942,F,26-35,28,unmarried,Maharashtra,Western,Aviation,Decor,3,6124
1002056,Ankur,P00002942,F,26-35,27,married,Uttar Pradesh,Central,Aviation,Electronics & Gadgets,3,6115
1001132,Balk,P00002942,F,18-25,24,married,Maharashtra,Western,Agriculture,Household items,1,3048
1002030,Mitchum,P00002942,F,26-35,26,unmarried,Madhya Pradesh,Central,Automobile,Veterinary,1,1426
1004649,Zuschuss,P00003042,F,55+,58,married,Uttarakhand,Central,Hospitality,Clothing & Apparel,1,7084
1000855,Sung,P00003142,M,18-25,23,unmarried,Himachal Pradesh,Northern,Banking,Electronics & Gadgets,4,8123
1003916,Surabhi,P00003242,M,26-35,34,married,Delhi,Central,Agriculture,Stationery,4,21388
1002956,Neha,P00003242,F,26-35,31,married,Uttar Pradesh,Central,Media,Footwear & Shoes,4,20283
1005157,Parks,P00003242,M,36-45,36,married,Haryana,Northern,Chemical,Footwear & Shoes,2,20269
1003562,Sonal,P00003242,M,26-35,34,married,Andhra Pradesh,Southern,Banking,Sports Products,2,13391
1004415,Sylvia,P00003242,F,18-25,19,unmarried,Kerala,Southern,Aviation,Games & Toys,1,12960
1002962,K,P00003242,F,36-45,44,unmarried,Uttar Pradesh,Central,Healthcare,Food,3,12039
1003011,Roelle,P00003242,F,26-35,31,married,Punjab,Northern,Chemical,Electronics & Gadgets,3,9965
1005389,O'Briant,P00003242,F,46-50,46,unmarried,Uttar Pradesh,Central,Lawyer,Clothing & Apparel,2,8731
1001413,Nguyen,P00003242,F,18-25,25,unmarried,Himachal Pradesh,Northern,Banking,Electronics & Gadgets,3,8103
1000179,Debra,P00003242,F,26-35,30,unmarried,Jharkhand,Eastern,Automobile,Clothing & Apparel,4,6976
1003713,Neha,P00003242,M,26-35,27,married,Andhra Pradesh,Southern,Healthcare,Clothing & Apparel,4,6912
1005689,Dorothy,P00003242,F,26-35,34,married,Madhya Pradesh,Central,IT Sector,Beauty,4,6040
1000342,Tillman,P00003242,F,18-25,22,married,Kerala,Southern,Chemical,Electronics & Gadgets,3,5934
1003648,Amit,P00003242,F,18-25,20,married,Maharashtra,Western,Agriculture,Beauty,2,5908
1000048,Carlisle,P00003242,F,26-35,28,married,Madhya Pradesh,Central,Govt,Beauty,4,3235
1001266,Emily,P00003242,F,26-35,26,unmarried,Maharashtra,Western,Govt,Clothing & Apparel,4,1803
1001658,Hwang,P00003242,M,36-45,42,unmarried,Uttar Pradesh,Central,Healthcare,Veterinary,2,1409
1002934,Brumley,P00003442,M,36-45,40,unmarried,Delhi,Central,Govt,Food,4,19049
1001571,Elpida,P00003442,F,26-35,27,unmarried,Andhra Pradesh,Southern,Banking,Auto,4,18536
1003650,Ginny,P00003442,F,26-35,26,unmarried,Uttar Pradesh,Central,IT Sector,Tupperware,1,16469
1003267,Trupti,P00003442,F,26-35,27,unmarried,Andhra Pradesh,Southern,Govt,Food,4,15831
1005029,Marc,P00003442,F,26-35,32,unmarried,Madhya Pradesh,Central,Agriculture,Food,2,15283
1002334,Moumita,P00003442,M,55+,85,unmarried,Uttar Pradesh,Central,Banking,Hand & Power Tools,4,14564
1005766,Willman,P00003442,F,55+,78,unmarried,Uttar Pradesh,Central,Chemical,Games & Toys,2,12949
1001523,Alex,P00003442,F,26-35,29,unmarried,Uttar Pradesh,Central,Construction,Footwear & Shoes,2,12815
1002154,Pippenger,P00003442,F,26-35,26,unmarried,Karnataka,Southern,Construction,Footwear & Shoes,2,12434
1001941,Gopal,P00003442,M,36-45,26,married,Uttar Pradesh,Central,Chemical,Electronics & Gadgets,2,9741
1005925,Abhijeet,P00003442,M,26-35,35,unmarried,Gujarat,Western,Aviation,Clothing & Apparel,1,8670
1005761,Kartikay,P00003442,F,26-35,35,unmarried,Haryana,Northern,Healthcare,Clothing & Apparel,1,8664
1003498,Sukruta,P00003442,M,26-35,28,unmarried,Karnataka,Southern,Construction,Footwear & Shoes,3,8141
1004373,Byrd,P00003442,F,51-55,53,unmarried,Uttar Pradesh,Central,Aviation,Sports Products,4,8096
1002700,Ankit,P00003442,F,26-35,31,married,Maharashtra,Western,Hospitality,Food,4,8047
1005049,Katherine,P00003442,F,26-35,30,unmarried,Gujarat,Western,Aviation,Electronics & Gadgets,4,7981
1003884,Catlett,P00003442,F,18-25,20,unmarried,Kerala,Southern,Retail,Electronics & Gadgets,3,5835
1003884,Catlett,P00003442,F,18-25,20,unmarried,Maharashtra,Western,Retail,Decor,4,5835
1005241,Adam,P00003442,M,26-35,26,married,Delhi,Central,Agriculture,Household items,4,3121
1005988,Hunt,P00003442,F,26-35,32,unmarried,Delhi,Central,Healthcare,Household items,1,3047
1002718,Abhishek,P00003442,M,26-35,28,unmarried,Karnataka,Southern,IT Sector,Office,1,555
1000045,Byrd,P00003542,M,46-50,47,married,Madhya Pradesh,Central,Govt,Clothing & Apparel,3,5223
1005366,Cathy,P00003642,F,18-25,25,unmarried,Maharashtra,Western,Healthcare,Food,2,19135
1005747,Gardner,P00003642,F,26-35,31,married,Madhya Pradesh,Central,Automobile,Food,4,19093
1001347,Seth,P00003642,M,18-25,22,married,Kerala,Southern,Aviation,Games & Toys,1,13012
1005333,MacIntyre,P00003642,M,26-35,30,unmarried,Haryana,Northern,Healthcare,Food,2,11813
1005655,Mane,P00003642,M,26-35,31,unmarried,Punjab,Northern,Media,Food,1,11486
1001069,Krutika,P00003642,F,26-35,35,unmarried,Maharashtra,Western,Banking,Games & Toys,4,10102
1001962,Bryan,P00003642,M,18-25,25,married,Gujarat,Western,Food Processing,Electronics & Gadgets,2,9701
1002459,Barnes,P00003642,F,51-55,52,unmarried,Haryana,Northern,Healthcare,Electronics & Gadgets,3,8015
1000500,Matthias,P00003642,M,18-25,21,married,Telangana,Southern,IT Sector,Electronics & Gadgets,1,7860
1006011,Aniket,P00003642,F,36-45,43,married,Uttar Pradesh,Central,Automobile,Electronics & Gadgets,1,7787
1001279,Hitesh,P00003642,F,36-45,40,unmarried,Haryana,Northern,Banking,Clothing & Apparel,4,7157
1000314,Messe,P00003642,M,55+,70,married,Himachal Pradesh,Northern,Media,Games & Toys,2,6644
1004949,Shrichand,P00003642,F,18-25,23,unmarried,Uttarakhand,Central,Media,Clothing & Apparel,3,5302
1001676,Kirti,P00003942,F,18-25,19,married,Bihar,Eastern,Aviation,Food,2,19099
1005099,Moffitt,P00003942,F,18-25,24,married,Andhra Pradesh,Southern,Govt,Auto,4,18891
1004502,Kaydos,P00003942,F,51-55,51,unmarried,Uttar Pradesh,Central,IT Sector,Games & Toys,2,16415
1003519,Catlett,P00003942,M,26-35,34,married,Punjab,Northern,Lawyer,Food,2,15730
1001709,Brijesh,P00003942,F,26-35,27,married,Uttar Pradesh,Central,Food Processing,Food,3,11838
1003538,Shivani,P00003942,F,36-45,37,unmarried,Uttar Pradesh,Central,Construction,Sports Products,4,10859
1003437,Leatherbury,P00003942,M,26-35,34,unmarried,Rajasthan,Northern,Textile,Electronics & Gadgets,4,9771
1004967,Pippenger,P00003942,F,18-25,25,married,Kerala,Southern,Banking,Clothing & Apparel,1,8788
1003779,Ionia,P00003942,M,46-50,50,unmarried,Himachal Pradesh,Northern,Govt,Tupperware,4,8236
1005107,Pratyusmita,P00003942,M,46-50,49,married,Uttar Pradesh,Central,Aviation,Sports Products,3,8120
1005305,Greene,P00003942,M,18-25,25,unmarried,Andhra Pradesh,Southern,IT Sector,Clothing & Apparel,2,7140
1003592,Hooks,P00003942,M,55+,80,unmarried,Maharashtra,Western,Aviation,Clothing & Apparel,2,6923
1003690,Fein,P00003942,F,18-25,20,married,Andhra Pradesh,Southern,IT Sector,Clothing & Apparel,1,5477
1004409,Parks,P00003942,F,26-35,27,unmarried,Karnataka,Southern,IT Sector,Clothing & Apparel,4,5419
1005223,Nandita,P00003942,F,55+,57,unmarried,Maharashtra,Western,Automobile,Veterinary,4,1407
1001579,Victor,P00003942,F,26-35,26,married,Madhya Pradesh,Central,IT Sector,Veterinary,3,1402
1002748,Farhat,P00004142,F,26-35,31,unmarried,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,1,4056
1003051,Moren,P00004242,F,18-25,24,unmarried,Andhra Pradesh,Southern,Retail,Food,1,15689
1000429,Farah,P00004242,F,18-25,24,married,Uttarakhand,Central,Healthcare,Electronics & Gadgets,4,9763
1001680,Vasudev,P00004342,M,26-35,26,unmarried,Maharashtra,Western,Govt,Electronics & Gadgets,3,7840
1005193,Ausman,P00004342,F,36-45,40,unmarried,Karnataka,Southern,Construction,Clothing & Apparel,2,7132
1005837,Kunst,P00004442,F,26-35,31,married,Andhra Pradesh,Southern,Textile,Electronics & Gadgets,3,9992
1005837,Kunst,P00004442,F,26-35,31,married,Rajasthan,Northern,Textile,Electronics & Gadgets,1,9992
1000392,Cooley,P00004442,F,18-25,20,unmarried,Karnataka,Southern,Textile,Electronics & Gadgets,2,1985
1003648,Amit,P00004542,F,18-25,25,married,Haryana,Northern,Food Processing,Sports Products,2,13228
1003989,Claudia,P00004542,M,51-55,53,unmarried,Uttar Pradesh,Central,Media,Footwear & Shoes,2,12682
1005250,Fritzler,P00004542,M,51-55,54,unmarried,Kerala,Southern,Aviation,Clothing & Apparel,1,5169
1004345,Duhita,P00004642,M,26-35,34,unmarried,Maharashtra,Western,Lawyer,Food,2,15916
1001449,Dorris,P00004642,F,36-45,43,unmarried,Karnataka,Southern,Aviation,Books,3,10575
1000797,Akin,P00004642,M,51-55,53,married,Maharashtra,Western,IT Sector,Clothing & Apparel,2,7017
1005593,Paul,P00004742,F,51-55,53,married,Andhra Pradesh,Southern,Banking,Food,3,19255
1001902,Pistole,P00004742,F,26-35,35,unmarried,Karnataka,Southern,IT Sector,Footwear & Shoes,2,16413
1001285,Laalji,P00004742,M,36-45,36,unmarried,Rajasthan,Northern,Govt,Electronics & Gadgets,2,8044
1003644,Shagiari,P00004742,M,26-35,29,married,Uttar Pradesh,Central,IT Sector,Electronics & Gadgets,3,7956
1001395,Grace,P00004742,F,26-35,32,married,Andhra Pradesh,Southern,Banking,Electronics & Gadgets,2,7926
1004774,Bixby,P00004742,F,46-50,50,unmarried,Haryana,Northern,Retail,Electronics & Gadgets,2,7768
1001988,Cohen,P00004742,M,26-35,27,married,Maharashtra,Western,IT Sector,Electronics & Gadgets,1,5930
1005894,Huthwaite,P00004742,F,36-45,43,married,Jharkhand,Eastern,Banking,Clothing & Apparel,2,5441
1002384,Robert,P00004742,F,36-45,43,married,Karnataka,Southern,Automobile,Footwear & Shoes,2,4143
1004183,Meg,P00004742,F,26-35,28,unmarried,Uttar Pradesh,Central,Media,Clothing & Apparel,2,3594
1003833,Dashyam,P00004742,F,26-35,35,unmarried,Jharkhand,Eastern,Govt,Clothing & Apparel,1,3559
1003378,Chikku,P00004742,F,18-25,23,married,Delhi,Central,IT Sector,Beauty,4,2977
1002105,VanderZanden,P00004742,F,26-35,30,married,Andhra Pradesh,Southern,Hospitality,Electronics & Gadgets,4,2217
1004950,LaWare,P00004742,F,26-35,31,unmarried,Madhya Pradesh,Central,Media,Clothing & Apparel,2,1794
1001193,Mick,P00004842,F,26-35,29,unmarried,Andhra Pradesh,Southern,Aviation,Auto,1,23619
1005430,Mrunal,P00004842,M,46-50,49,unmarried,Delhi,Central,Lawyer,Tupperware,2,16862
1001271,Jane,P00004842,M,46-50,49,married,Karnataka,Southern,Banking,Clothing & Apparel,3,7059
1001011,Avni,P00005042,F,26-35,35,unmarried,Delhi,Central,Retail,Food,3,15231
1000897,Phalguni,P00005042,F,26-35,34,unmarried,Delhi,Central,IT Sector,Food,3,11903
1003491,Freymann,P00005042,M,26-35,35,unmarried,Andhra Pradesh,Southern,Banking,Electronics & Gadgets,2,9920
